SKU_ID,Category,Predicted_Demand,Available_Stock,Estimated_Stockout_Days,Reorder_Flag,Supplier_Risk,Supply_Chain_Risk,Agent_Priority,Agent_Reason,Agent_Action
FOOD001,Food,82.23641249986416,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,85.21039762513217,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,81.5575788265786,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,83.61193547503355,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,90.06311556254416,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,90.0991277478995,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,88.15821848672768,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,87.13202801436753,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,107.0529385768747,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,108.14231751059927,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,112.04728452668911,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,115.10887673417076,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,96.88392558328033,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,100.05167590665681,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,101.58074296678227,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,104.78554979353612,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,107.73235035545162,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD001,Food,98.74751781034853,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,76.82076929353546,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,79.54798314316645,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,79.14722567357799,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,79.50181890481437,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,78.18343341459357,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,80.40190239924485,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
FOOD002,Food,82.13274870387087,0,0.0,REORDER,LOW,HIGH,CRITICAL,Stockout detected,URGENT: Reorder stock
